vlc	VLC
firefox	firefox
gawk	gawk
llvm	llvm
ninja	ninja
gcc	gcc
ansible	ansible
terraform	terraform
p7zip	7za
busybox	busybox
lha	lha
unzip	unzip
zip	zip
zstd	zstd
bubblewrap	bwrap
cosign	cosign
podman	podman
skopeo	skopeo
wine	wine
fq	fq
upx	upx
jq	jq
yq	yq
fzf	fzf
skim	skim
television	television
redis	redis
mysql	mysql
sqlite	sqlite3
cgdb	cgdb
emacs	emacs
github-cli	helix
kibi	kibi
nano	nano
neovim	nvim
vim	vim
ncdu	ncdu
smartmontools	smartctl
broot	broot
lf	lf
mc	midnight-commander
nnn	nnn
ranger	ranger
bat	bat
fd	fd
rsync	rsync
systeroid	systeroid
tree	tree
hledger	hledger
dstask	dstask
julia	julia
lua	lua
php	php
python	python
nodejs	node
rakudo	raku
bartib	bartib
minify	minify
borgbackup	borg
clipboard	clipboard
gomplate	gomplate
restic	restic
sc-im	sc-im
cmus	cmus
ffmpeg	ffmpeg
ocrmypdf	ocrmypdf
aria2	aria2
bmon	bmon
certbot	certbot
curl	curl
bind-tools	dig
mosquitto	gost
iftop	iftop
iptraf-ng	iptraf-ng
mosquitto	mosquitto
mtr	mtr
networkmanager	nmtui
socat	socat
speedtest-cli	speedtest-cli
wavemon	wavemon
you-get	you-get
yt-dlp	yt-dlp
atop	atop
cpufetch	cpufetch
easy-rsa	easy-rsa
fastfetch	fastfetch
kmon	kmon
musl	musl
neofetch	neofetch
nethogs	nethogs
procs	procs
psmisc	pstree
coreutils	coreutils
irssi	irssi
mcabber	mcabber
w3m	w3m
watchexec	watchexec
cloc	cloc
gitea	gitea
glab	glab
bzr	bzr
git	git
onefetch	onefetch
tig	tig
gradle	gradle
age	age
flawz	flawz
gnupg	gnupg
gopass	gopass
gpg-tui	gpg-tui
hashcat	hashcat
nmap	ncat
nmap	nmap
nmap	nping
openssl	openssl
bash	bash
util-linux	chsh
dash	dash
fish	fish
hstr	hstr
zsh	zsh
mosh	mosh
openssh	openssh-client
openssh	openssh-server
openssh	openssh
gifsicle	gifsicle
multitail	multitail
gum	gum
starship	starship
tmux	tmux
ali	ali
hyperfine	hyperfine
siege	siege
hurl	hurl
amfora	amfora
ttyd	ttyd
nginx	nginx
zola	zola
