aichat	aichat
openapi-tui	openapi-tui
tenere	tenere
tgt	tgt
kubie	kubie
kaspa-miner	kaspa-miner
just	just
ouch	ouch
tealdeer	tealdeer
docuum	docuum
ducker	ducker
oxker	oxker
click	click
kdash	kdash
binsider	binsider
cargo-selector	cargo-selector
hex-patch	hexpatch
hexyl	hexyl
csview	csview
csvlens	csvlens
tabiew	tabiew
tidy-viewer	tidy-viewer
drivel	drivel
jless	jless
jnv	jnv
jwt-ui	jwt-ui
tv-cli	tv-cli
fsrx	fsrx
huniq	huniq
serpl	serpl
skim	skim
television	television
typst-cli	typst
bibiman	bibiman
ddh	ddh
ddv	ddv
sleek	sleek
amp	amp
kibi	kibi
ox	ox
himalaya	himalaya
genact	genact
poketex	poketex
ttyper	ttyper
tukai	tukai
diskonaut	diskonaut
diskus	diskus
dua-cli	dua
parallel-disk-usage	pdu
redu	redu
broot	broot
felix	felix
kamiyaa/joshuto	joshuto
lla	lla
lsd	lsd
xplr	xplr
yazi-fm	yazi
drft	drft
fselect	fselect
hf	hf
smartcat	smartcat
systeroid	systeroid
tere	tere
tre-command	tre
zoxide	zoxide
portfolio_rs	portfolio_rs
tuisky	tuisky
basilk	basilk
bmm	bmm
pueue	pueue
tui-journal	tui-journal
cedar-policy	cedar
fnm	fnm
uv	uv
roman	rome
ast-grep	ast-grep
didyoumean	didyoumean
dprint	dprint
stylua	stylua
bartib	bartib
fblog	fblog
logria	logria
rhit	rhit
tailspin	tailspin
pumas	pumas
doctave	doctave
mdcat	mdcat
monolith	monolith
rucola-notes	rucola
crates-tui	crates-tui
halp	halp
hoard-rs	hoard
licensor	licensor
ripgrep_all	rga
sigrs	sig
vivid	vivid
agg	agg
cavif	cavif
gifski	gifski
kbt	kbt
ncspot	ncspot
silicon	silicon
spotify-tui	spotify-tui
stego	stego
aim	aim
bore-cli	bore-cli
bore-cli	bore
craftql	craftql
gping	gping
havn	havn
jwt-cli	jwt-cli
miniserve	miniserve
netscanner	netscanner
shadowsocks-rust	shadowsocks-rust
slumber	slumber
trippy	trippy
bluetui	bluetui
bottom	bottom
envfetch	envfetch
hwatch	hwatch
impala	impala
killport	killport
kmon	kmon
macchina	macchina
mprocs	mprocs
netop	netop
pik	pik
sanitize	sanitize
semverator	semverator
tegratop	tegratop
tracexec	tracexec
trashy	trashy
tuistash	tuistash
ytop	ytop
firework-rs	firework-rs
flamelens	flamelens
lychee	lychee
meli	meli
omekasy	omekasy
qrtool	qrtool
tiny	tiny
twitch-tui	twitch-tui
typos-cli	typos
watchexec-cli	watchexec
mise	mise
pixi	pixi
tokei	tokei
git-delta	delta
wiki-tui	wiki-tui
eb	eb
bpb	bpb
clog-cli	clog-cli
cocogitto	cocogitto
convco	convco
eureka	eureka
gfold	gfold
git-absorb	git-absorb
git-branchless	git-branchless
git-cinnabar	git-cinnabar
git-gone	git-gone
git-grab	git-grab
git-tidy	git-tidy
git-trim	git-trim
gitnr	gitnr
gitql	gitql
gitu	gitu
gitui	gitui
gitweb	gitweb
gitoxide	gix
jj-cli	jj
koji	koji
onefetch	onefetch
serie	serie
cotp	cotp
dexios	dexios
ezcheck	ezcheck
flawz	flawz
gpg-tui	gpg-tui
otti	otti
pgen	pgen
rage	rage
sniffnet	sniffnet
atac	atac
bingrep	bingrep
bcrab	boxercrab
load_balancer	pingora
simple-http-server	simple-http-server
tlrc	tlrc
adguardian	adguardian
alacritty	alacritty
cfonts	cfonts
otree	otree
rioterm	rio
starship	starship
t-rec	t-rec
tuime	tuime
wezterm	wezterm
oha	oha
wasm-pack	wasm-pack
wasm-tools	wasm-tools
wasmer-cli	wasmer
wireman	wireman
dufs	dufs
minio	minio
zola	zola
