cpu-x	CPU-X
krita	Krita
obs-studio	OBS-Studio
rpi-imager	Raspberry-Pi-Imager
vlc	VLC
codium	VSCodium
darktable	darktable
firefox	firefox
flameshot	flameshot
qtcreator	qtcreator
dpkg-awk	dpkg-awk
gawk	gawk
original-awk	original-awk
meson	meson
ninja-build	ninja
cppman	cppman
ansible	ansible
tofu	opentofu
s3cmd	s3cmd
s4cmd	s4cmd
terraform	terraform
p7zip-full	7za
busybox	busybox
lhasa	lha
tealdeer	tealdeer
unzip	unzip
zip	zip
zstd	zstd
bubblewrap	bwrap
docker-ctop	ctop
nvidia-container-toolkit	nvidia-container-toolkit
podman	podman
skopeo	skopeo
wine	wine
k3d	k3d
kubernetes-client	kubectl
bcal	bcal
xxd	xxd
visidata	visidata
jq	jq
fzf	fzf
ripgrep	rg
pandoc	pandoc
elasticsearch	elasticsearch
redis-tools	redis
scap-workbench	scap-workbench
mycli	mycli
mysql-workbench	mysql-workbench
mysql-server	mysql
pgcli	pgcli
postgresql	postgresql
sqlite3	sqlite3
cgdb	cgdb
dte	dte
emacs	emacs
helix	helix
micro	micro
nano	nano
neovim	nvim
python3-sphinx	sphinx
vim	vim
lutris	lutris
util-linux	cfdisk
duc	duc
duf	duf
ncdu	ncdu
smartmontools	smartctl
broot	broot
clifm	clifm
exa	exa
eza	eza
mc	midnight-commander
nnn	nnn
ranger	ranger
vifm	vifm
bacula-console-qt	bat
diffoscope	diffoscope
fd-find	fd
rsync	rsync
syncthing	syncthing
trash-cli	trash-cli
tre-command	tre
tree	tree
hledger	hledger
fnt	fnt
fcitx5	fcitx5
khal	khal
taskwarrior	taskwarrior
groovy	groovy
java	java
julia	julia
kaitai-struct-compiler	kaitai
mawk	mawk
php	php
python-minimal	python
python3-venv	python3-venv
ruby-full	ruby
scala	scala
rakudo	raku
cruft	cruft
howdoi	howdoi
mypy	mypy
pylint	pylint
sip-devel	sip
virtualenv	virtualenv
libc-bin	iconv
lhasa	lhasa
goaccess	goaccess
borgbackup	borg
restic	restic
silversearcher-ag	the_silver_searcher
ascii-image-converter	ascii-image-converter
asciinema	asciinema
libcairo2-dev	cairo
cava	cava
chafa	chafa
cmus	cmus
epsilon-bin	epsilon
ffmpeg	ffmpeg
kew	kew
ocrmypdf	ocrmypdf
tintin++	tintin++
vhs	vhs
aria2	aria2
bmon	bmon
certbot	certbot
curl	curl
dnsutils	dig
globalping	globalping
gost	gost
iftop	iftop
iptraf-ng	iptraf-ng
magic-wormhole	magic-wormhole
mitmproxy	mitmproxy
mosquitto	mosquitto
mtr	mtr
ngrok	ngrok
nload	nload
network-manager	nmtui
socat	socat
speedtest-cli	speedtest-cli
tcping_amd64.deb	tcping
tcptrack	tcptrack
termshark	termshark
traceroute	traceroute
wavemon	wavemon
yt-dlp	yt-dlp
atop	atop
bpytop	bpytop
cpufetch	cpufetch
doas	doas
easy-rsa	easy-rsa
fastfetch	fastfetch
glances	glances
htop	htop
neofetch	neofetch
nethogs	nethogs
nmon	nmon
nvtop	nvtop
psmisc	pstree
saidar	saidar
screenfetch	screenfetch
systemd	systemctl
uxplay	UxPlay
coreutils	coreutils
googler	googler
irssi	irssi
mcabber	mcabber
meli	meli
mutt	mutt
qrencode	qrencode
python3-scli	scli
tsung	tsung
w3m	w3m
watchexec-cli	watchexec
apt	apt
aptitude	aptitude
flatpak	flatpak
luarocks	luarocks
oma	oma
opam	opam
pipenv	pipenv
rbenv	rbenv
snapd	snap
zypper	zypper
cloc	cloc
glow	glow
python3-matplotlib	matplotlib
python3-scipy	scipy
mercurial	mercurial
svn-workbench	svn-workbench
tea	tea
bzr	bzr
git-absorb	git-absorb
git-annex	git-annex
git-publish	git-publish
git	git
lefthook	lefthook
tig	tig
activemq	activemq
ant	ant
gradle	gradle
sbt	sbt
scala-cli	scala_cli
visualvm	visualvm
age	age
bcrypt	bcrypt
dnstwist	dnstwist
lynis	lynis
ncat	ncat
nmap	nmap
nmap	nping
openssl	openssl
python3-scapy	scapy
trivy	trivy
ash	ash
bash	bash
passwd	chsh
dash	dash
elvish	elvish
fish	fish
shellcheck	shellcheck
xonsh	xonsh
zsh	zsh
mosh	mosh
openssh-client	openssh-client
openssh-server	openssh-server
gifsicle	gifsicle
ruby	kramdown
liquibase	liquibase
mdp	mdp
mindforger	mindforger
multitail	multitail
guake	guake
gum	gum
tmux	tmux
tmuxp	tmuxp
trzsz	trzsz-go
ttyplot	ttyplot
wezterm	wezterm
ali	ali
hyperfine	hyperfine
siege	siege
wrk	wrk
qemu-kvm	kvm
qemu-system	qemu
virtualbox-qt	virtualbox
wabt	wabt
ddev	ddev
hurl	hurl
amfora	amfora
elinks	elinks
links	links
apache2	apache
nginx-extras	nginx
