cidr,description,rfc
0.0.0.0/8,This Network,rfc1700
10.0.0.0/8,Private-Use Networks,rfc1918
14.0.0.0/8,Public-Data Networks,rfc1700
24.0.0.0/8,Cable Television Networks,
39.0.0.0/8,Reserved but subject to allocation,rfc1797
127.0.0.0/8,Loopback,rfc1700
128.0.0.0/16,Reserved but subject to allocation,
169.254.0.0/16,Link Local,
172.16.0.0/12,Private-Use Networks,rfc1918
191.255.0.0/16,Reserved but subject to allocation,
192.0.0.0/24,Reserved but subject to allocation,
192.0.2.0/24,Test-Net,
192.88.99.0/24,6to4 Relay Anycast,rfc3068
192.168.0.0/16,Private-Use Networks,rfc1918
198.18.0.0/15,Network Interconnect Device Benchmark Testing,rfc2544
223.255.255.0/24,Reserved but subject to allocation,
224.0.0.0/4,Multicast,rfc3171
240.0.0.0/4,Reserved for Future Use,rfc1700
100.0.0.0/10,carrier-grade NAT,rfc6598
