1,HUP,Hangup detected on controlling terminal or death of controlling process
2,INT,Interrupt from keyboard
3,QUIT,Quit from keyboard
4,ILL,Illegal instruction
5,TRAP,Trace/breakpoint trap
6,ABRT,Aborted
7,EMT,EMT instruction
8,FPE,Floating point exception
9,KILL,Killed
10,BUS,Bus error
11,SEGV,Segmentation violation
12,SYS,Bad system call
13,PIPE,Broken pipe
14,ALRM,Alarm clock
15,TERM,Termination
16,URG,Urgent condition on I/O channel
17,STOP,Stopped (signal from tty)
18,TSTP,Stopped (user request)
19,CONT,Continue execution
20,CHLD,Child process terminated
21,TTIN,Background process attempting read from tty
22,TTOU,Background process attempting write to tty
23,IO,I/O possible
24,XCPU,CPU time limit exceeded
25,XFSZ,File size limit exceeded
26,VTALRM,Virtual timer expired
27,PROF,Profiling timer expired
28,WINCH,Window size change
29,INFO,Information request
30,USR1,User-defined signal 1
31,USR2,User-defined signal 2
